abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.075,35,1898,Blackmarket Rye IPA,American IPA,112,12,112,Black Market Brewing Company,Temecula, CA
0.05,8,1897,Black Market Hefeweizen,Hefeweizen,112,12,112,Black Market Brewing Company,Temecula, CA
0.058,44,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12,112,Black Market Brewing Company,Temecula, CA
0.071,83,1850,American India Red Ale,American Strong Ale,294,12,294,Black Shirt Brewing Company,Denver, CO
0.071,45,1849,American Red Porter,American Porter,294,12,294,Black Shirt Brewing Company,Denver, CO
0.078,34,1848,American Red Saison,Saison / Farmhouse Ale,294,12,294,Black Shirt Brewing Company,Denver, CO
0.066,44,1847,Colorado Red Ale,American Amber / Red Ale,294,12,294,Black Shirt Brewing Company,Denver, CO
0.048,16,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12,79,Black Tooth Brewing Company,Sheridan, WY
0.046,20,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12,79,Black Tooth Brewing Company,Sheridan, WY
0.048,47,2634,Nordskye ,American IPA,12,12,12,Blackrocks Brewery,Marquette, MI
0.06,30,2153,North Third Stout,Foreign / Export Stout,12,12,12,Blackrocks Brewery,Marquette, MI
0.07,51,1481,51K IPA,American IPA,12,12,12,Blackrocks Brewery,Marquette, MI
0.056,37,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12,380,Blue Blood Brewing Company,Lincoln, NE
0.056,37,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12,380,Blue Blood Brewing Company,Lincoln, NE
0.056,37,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12,380,Blue Blood Brewing Company,Lincoln, NE
0.046,35,611,834 Happy As Ale,American Pale Ale (APA),380,12,380,Blue Blood Brewing Company,Lincoln, NE
0.08,80,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12,304,Blue Hills Brewery,Canton, MA
0.059,60,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12,382,Blue Mountain Brewery,Afton, VA
0.065,30,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12,382,Blue Mountain Brewery,Afton, VA
0.053,22,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12,382,Blue Mountain Brewery,Afton, VA
0.059,60,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12,382,Blue Mountain Brewery,Afton, VA
0.049,16,1408,Kölsch 151,Kölsch,414,12,414,Blue Mountain Brewery,Arrington, VA
0.06,40,692,Blue Point White IPA,American White IPA,489,12,489,Blue Point Brewing Company,Patchogue, NY
0.044,16,667,Blue Point Summer Ale,American Blonde Ale,489,12,489,Blue Point Brewing Company,Patchogue, NY
0.055,28,665,Toasted Lager,Vienna Lager,489,12,489,Blue Point Brewing Company,Patchogue, NY
0.042,30,1891,Longhop IPA,American IPA,281,16,281,Bolero Snort Brewery,Ridgefield Park, NJ
0.04,34,1890,Lucky Buck,Irish Dry Stout,281,16,281,Bolero Snort Brewery,Ridgefield Park, NJ
0.045,27,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12,525,Bomb Beer Company,New York, NY
0.066,72,2422,Firestarter India Pale Ale,American IPA,107,12,107,Bonfire Brewing Company,Eagle, CO
0.075,22,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16,107,Bonfire Brewing Company,Eagle, CO
0.048,30,1614,Wood Splitter Pilsner,Czech Pilsener,107,16,107,Bonfire Brewing Company,Eagle, CO
0.056,26,1613,Gyptoberfest,Märzen / Oktoberfest,107,12,107,Bonfire Brewing Company,Eagle, CO
0.07,94,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16,107,Bonfire Brewing Company,Eagle, CO
0.048,38,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12,107,Bonfire Brewing Company,Eagle, CO
0.053,45,1183,Kindler Pale Ale,American Pale Ale (APA),107,12,107,Bonfire Brewing Company,Eagle, CO
0.066,72,633,Firestarter India Pale Ale,American IPA,107,16,107,Bonfire Brewing Company,Eagle, CO
0.071,16,2062,Noche Dulce,American Porter,231,16,231,Borderlands Brewing Company,Tucson, AZ
0.045,8,1830,Porch Rocker,Radler,300,12,300,Boston Beer Company,Boston, MA
0.065,45,1629,Rebel IPA,American IPA,300,16,300,Boston Beer Company,Boston, MA
0.049,30,1349,Boston Lager,Vienna Lager,300,16,300,Boston Beer Company,Boston, MA
0.049,30,1310,Boston Lager,Vienna Lager,300,12,300,Boston Beer Company,Boston, MA
0.053,15,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12,300,Boston Beer Company,Boston, MA
0.053,7,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12,300,Boston Beer Company,Boston, MA
0.049,30,1143,Boston Lager,Vienna Lager,300,12,300,Boston Beer Company,Boston, MA
0.049,35,1395,Hazed & Infused,American Pale Ale (APA),417,12,417,Boulder Beer Company,Boulder, CO
0.057,35,808,Hoopla Pale Ale,American Pale Ale (APA),417,12,417,Boulder Beer Company,Boulder, CO
0.049,35,81,Hazed & Infused (2010),American Pale Ale (APA),417,12,417,Boulder Beer Company,Boulder, CO
0.062,80,2596,Heavy Lifting,American IPA,31,12,31,Boulevard Brewing Company,Kansas City, MO
0.06,52,2107,Plum St. Porter,American Porter,219,12,219,Bozeman Brewing Company,Bozeman, MT
0.057,52,1573,Plum St. Porter,American Porter,219,12,219,Bozeman Brewing Company,Bozeman, MT
0.07,80,1289,Bozone HopZone IPA,American IPA,219,12,219,Bozeman Brewing Company,Bozeman, MT
0.06,25,1288,Bozone Hefe Weizen,Hefeweizen,219,12,219,Bozeman Brewing Company,Bozeman, MT
0.052,40,2167,Evil Owl,American Amber / Red Ale,207,12,207,Branchline Brewing Company,San Antonio, TX
0.042,9,1522,Agave Wheat,American Pale Wheat Ale,391,12,391,Breckenridge Brewery,Denver, CO
0.045,15,397,SummerBright Ale,American Pale Wheat Ale,391,12,391,Breckenridge Brewery,Denver, CO
0.062,68,193,Lucky U IPA,American IPA,391,12,391,Breckenridge Brewery,Denver, CO
0.054,19,83,Avalanche Ale,American Amber / Red Ale,391,12,391,Breckenridge Brewery,Denver, CO
0.072,60,1801,Last Stop IPA,American IPA,308,12,308,Brew Bus Brewing,Tampa, FL
0.05,21,1800,Rollin Dirty Red Ale,Irish Red Ale,308,12,308,Brew Bus Brewing,Tampa, FL
0.055,28,1799,Are Wheat There Yet?,American Pale Wheat Ale,308,12,308,Brew Bus Brewing,Tampa, FL
0.05,15,921,Northern Lights Amber Ale,American Amber / Red Ale,493,12,493,Broken Tooth Brewing Company,Anchorage, AK
0.052,17,920,Polar Pale Ale,American Pale Ale (APA),493,12,493,Broken Tooth Brewing Company,Anchorage, AK
0.061,64,648,Fairweather IPA,American IPA,493,12,493,Broken Tooth Brewing Company,Anchorage, AK
0.068,47,1279,East India Pale Ale,English India Pale Ale (IPA),437,16,437,Brooklyn Brewery,Brooklyn, NY
0.068,47,566,East India Pale Ale,English India Pale Ale (IPA),437,12,437,Brooklyn Brewery,Brooklyn, NY
0.073,85,383,Black Adder IBA (Current),American Black Ale,530,16,530,Buckbean Brewing Company,Reno, NV
0.062,42,28,Tule Duck Red Ale (Current),American Amber / Red Ale,530,16,530,Buckbean Brewing Company,Reno, NV
0.058,35,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,530,16,530,Buckbean Brewing Company,Reno, NV
